Evento	Evento (limpo)	Codigo	Classificação UTI
DIÁRIA DE  UTI INFANTIL/PEDIÁTRICA	DIÁRIA DE  UTI INFANTIL PEDIÁTRICA	6.00.01.054	1
DIÁRIA DE  UTI NEONATAL	DIÁRIA DE  UTI NEONATAL	6.00.01.062	1
DIÁRIA DE ISOLAMENTO DE SEMI-UTI ADULTO GERAL	DIÁRIA DE ISOLAMENTO DE SEMI UTI ADULTO GERAL	6.00.01.275	1
DIÁRIA DE ISOLAMENTO DE UTI ADULTO GERAL	DIÁRIA DE ISOLAMENTO DE UTI ADULTO GERAL	6.00.01.330	1
DIÁRIA DE ISOLAMENTO DE UTI INFANTIL/PEDIÁTRICA	DIÁRIA DE ISOLAMENTO DE UTI INFANTIL PEDIÁTRICA	6.00.01.356	1
INALAÇÃO COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	INALAÇÃO COM OXIGÊNIO  VAZÃO DE 2 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.05.866	0
INALAÇÃO COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	INALAÇÃO COM OXIGÊNIO  VAZÃO DE 2 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.05.874	0
INALAÇÃO COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	INALAÇÃO COM OXIGÊNIO  VAZÃO DE 3 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.06.013	0
INALAÇÃO COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	INALAÇÃO COM OXIGÊNIO  VAZÃO DE 3 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.06.021	0
MACRONEBULIZAÇÃO COM AR COMPRIMIDO, VAZÃO DE 5 LITROS/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	MACRONEBULIZAÇÃO COM AR COMPRIMIDO  VAZÃO DE 5 LITROS MIN  POR USO SESSÃO  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.06.790	0
NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	NEBULIZAÇÃO   MÁSCARA COM OXIGÊNIO  VAZÃO DE 1 LITRO MIN  POR USO SESSÃO  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.08.016	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 10 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.10.045	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 12 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.10.207	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 3 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.10.843	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 5 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 5 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.11.009	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 6 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 6 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.11.084	0
OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 8 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	OXIGÊNIO NO RESPIRADOR VENTILADOR  VAZÃO DE 8 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.11.246	0
TAXA DE MONITOR / MONITORIZAÇÃO DE OXÍMETRO, POR DIA, FORA DA UTI E DO CENTRO CIRÚRGICO	TAXA DE MONITOR   MONITORIZAÇÃO DE OXÍMETRO  POR DIA  FORA DA UTI E DO CENTRO CIRÚRGICO	6.00.31.778	0
